"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\jdale\Working\sharky-vm\src\main.rs", "Rust", -10, 0, -1, -11
"c:\Users\jdale\Working\sharky-vm\src\sharky_app.rs", "Rust", 43, 0, 15, 58
"c:\Users\jdale\Working\sharky-vm\src\sharky_data_types.rs", "Rust", 5, 2, 2, 9
"c:\Users\jdale\Working\sharky-vm\src\sharky_memory.rs", "Rust", 36, 0, 8, 44
"c:\Users\jdale\Working\sharky-vm\src\sharky_vm.rs", "Rust", 57, 0, 10, 67
"Total", "-", 131, 2, 34, 167
